NAME,HOX_D1,HOX_D2,HOX_D4,HOX_D7,HOX_D14
ILMN_1748303,0.456739564,-0.355283223,0.052170103,-1.425723403,-0.167465422
ILMN_1682139,-0.164772748,-0.10984449,-0.078123666,-0.369418374,-0.010148259
ILMN_1694587,0.223003504,0.080772817,0.00480043,0.353699538,0.067518874
ILMN_1808249,0.224362131,0.091453225,0.204287966,0.652097593,0.5280433
ILMN_1721963,0.373727038,0.072944796,0.030597185,0.44632622,0.170234275
ILMN_2087528,-0.013194429,0.085523521,0.096680294,0.256663497,0.040814735
ILMN_1758146,-0.017898037,0.171325641,-0.222773604,0.87525511,0.20652612
ILMN_3202483,-0.427073524,0.038384725,-0.035665158,-0.459561239,-0.053742711
ILMN_1686562,0.001355597,-0.225512513,-0.075226051,0.322101414,0.082414507
ILMN_1806667,-0.050728233,-0.180112007,-0.094529197,0.406054311,0.238258862
ILMN_1761790,-0.108291673,0.083446164,-0.036187616,-0.328361192,-0.150904238
ILMN_1785646,-0.071170206,-0.580345127,0.269206739,0.913272492,0.322518199
ILMN_1665660,0.186870931,-0.021457747,0.14293003,0.290109862,0.175311663
ILMN_2137464,-0.227443121,0.045277549,0.042092517,-0.396125161,0.052771892
ILMN_3247325,-0.112026737,0.184274407,-0.083762974,-0.468866722,-0.170588446
ILMN_1688480,0.061338615,-0.172660502,0.144868822,0.654280197,-0.151476799
ILMN_3237241,-0.144426957,-0.022619508,-0.04900598,-0.340242829,0.073872454
ILMN_2387090,-0.095510952,0.149807053,0.068570115,-0.369339842,0.059659889
ILMN_1690802,0.071152003,-0.081576293,0.11634996,0.374907758,-0.029841592
ILMN_2378708,-0.153102111,-0.369876221,-0.3824756,-0.319233528,0.249002673
ILMN_1763524,0.186931823,0.010907128,-0.065081381,0.352658433,0.079556817
ILMN_2058337,-0.383783908,0.101092115,-0.026000328,-0.358840997,-0.158030152
ILMN_1764500,-0.07164729,0.104130311,0.237079973,0.370146578,0.210306164
ILMN_1651705,0.141468306,0.011980019,0.237824481,0.483116511,0.128126087
ILMN_1661500,-0.101075479,-0.060442402,0.125254322,-0.377090351,0.016626258
ILMN_2054362,-0.168756457,-0.244165687,-0.194069659,-0.359007737,-0.312099061
ILMN_1745242,-0.16064891,0.019007751,0.069331036,-0.434047456,0.222589519
ILMN_1653203,0.228500272,0.013874904,0.030743269,0.390628184,-0.028031985
ILMN_1737036,0.373720625,0.028140466,0.149295178,0.38358689,0.014477885
ILMN_1782142,0.222427488,0.042900549,0.083047537,0.326944315,0.197934243
ILMN_2150802,0.097012447,0.043830688,0.134624861,0.299393602,-0.106574494
ILMN_1805345,-0.116505433,-0.27333779,-0.164705785,-0.412464947,0.110642931
ILMN_1733364,0.306713461,0.141980711,0.107523188,0.352666611,0.004445161
