ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1714730,-0.23,0.14,0.55,0.77,0.24
ILMN_1742958,-0.23,0.14,0.55,0.77,0.24
ILMN_2265654,-0.23,0.14,0.55,0.77,0.24
ILMN_2301083,-0.23,0.14,0.55,0.77,0.24
ILMN_1738718,0.02,-0.05,-0.04,0.3,0.08
ILMN_1684929,0.04,0.08,0.3,0,0.14
ILMN_2362477,-0.13,0.24,0.39,0.61,0.55
ILMN_1748685,-0.13,0.24,0.39,0.61,0.55
ILMN_2370588,-0.07,0.13,0.19,0.22,-0.15
ILMN_1809145,-0.07,0.13,0.19,0.22,-0.15
ILMN_1735788,-0.07,0.13,0.19,0.22,-0.15
ILMN_1753413,-0.07,0.13,0.19,0.22,-0.15
ILMN_1681886,0.19,0.2,-0.27,-0.34,-0.13
ILMN_2395728,0.15,-0.13,0.15,-0.33,-0.16
ILMN_1690268,0.15,-0.13,0.15,-0.33,-0.16
ILMN_3180966,0.15,-0.13,0.15,-0.33,-0.16
ILMN_3257430,0.15,-0.13,0.15,-0.33,-0.16
ILMN_1664630,0.02,0.39,0.38,0.44,0.09
ILMN_1804150,0,-0.06,-0.27,-0.22,-0.09
ILMN_1665304,-0.17,-0.22,-0.19,-0.43,-0.45
ILMN_2106902,-0.17,-0.22,-0.19,-0.43,-0.45
ILMN_1783954,-0.17,-0.22,-0.19,-0.43,-0.45
ILMN_1669410,-0.14,-0.11,0.39,1.16,0.65
ILMN_2362545,0.12,0.23,0.54,0.27,0.12
ILMN_2362549,0.12,0.23,0.54,0.27,0.12
ILMN_1673117,0.12,0.23,0.54,0.27,0.12
ILMN_1653209,0.12,0.23,0.54,0.27,0.12
ILMN_2401964,-0.16,0.18,0.39,0.19,0.11
ILMN_1764927,-0.16,0.18,0.39,0.19,0.11
ILMN_1735445,-0.28,-0.17,-0.03,-0.28,-0.14
ILMN_1735495,0.07,0.12,0.31,0.28,0.05
ILMN_1692255,0.07,-0.03,0.38,0.31,0.15
ILMN_2251279,0.07,-0.03,0.38,0.31,0.15
ILMN_1756146,0.07,-0.03,0.38,0.31,0.15
ILMN_2385688,-0.08,-0.08,-0.16,-0.3,0.13
ILMN_1810058,-0.08,-0.08,-0.16,-0.3,0.13
ILMN_2366972,-0.16,-0.17,-0.25,-0.15,0.04
ILMN_1694311,-0.16,-0.17,-0.25,-0.15,0.04
ILMN_1665192,-0.16,-0.17,-0.25,-0.15,0.04
ILMN_1780659,-0.16,-0.17,-0.25,-0.15,0.04
ILMN_1679319,0.28,0.19,0.39,-0.15,-0.13
ILMN_1788701,0.28,0.19,0.39,-0.15,-0.13
ILMN_1658327,-0.12,0.1,0.18,0.28,-0.15
ILMN_1742230,-0.12,0.1,0.18,0.28,-0.15
ILMN_1681628,0.06,-0.04,-0.36,-0.06,-0.02
ILMN_1669484,0.22,0.06,0.02,-0.38,-0.14
ILMN_1778321,-0.25,0.02,0.19,0.66,0.5
ILMN_1808066,-0.16,-0.07,0.49,0.21,0.11
ILMN_1683239,-0.16,-0.07,0.49,0.21,0.11
ILMN_2393573,-0.16,-0.07,0.49,0.21,0.11
ILMN_1734205,-0.16,-0.07,0.49,0.21,0.11
ILMN_1781516,0,0.14,0.31,0.13,0.07
ILMN_2395236,0.06,0.28,0.2,0.23,0.16
ILMN_2395240,0.06,0.28,0.2,0.23,0.16
ILMN_1759585,0.06,0.28,0.2,0.23,0.16
ILMN_1661695,-0.06,0.14,0.17,0.65,0.41
ILMN_2280189,0.23,0.09,-0.16,-0.42,-0.21
ILMN_1783818,0.23,0.09,-0.16,-0.42,-0.21
ILMN_2293758,0.23,0.09,-0.16,-0.42,-0.21
ILMN_1735539,0.23,0.09,-0.16,-0.42,-0.21
ILMN_1693220,0.23,0.09,-0.16,-0.42,-0.21
ILMN_1671004,-0.23,-0.25,-0.28,-0.31,0.01
ILMN_2402558,0.09,0.16,-0.08,-0.26,-0.21
ILMN_1655950,0.09,0.16,-0.08,-0.26,-0.21
ILMN_2402556,0.09,0.16,-0.08,-0.26,-0.21
ILMN_1793476,-0.14,-0.19,0.22,0.28,0.16
ILMN_3241451,0.04,0.11,0.1,0.36,0.3
ILMN_1794829,0.04,0.11,0.1,0.36,0.3
ILMN_1698243,0,-0.1,-0.28,-0.18,0.2
ILMN_1722438,-0.22,0.12,-0.48,-0.15,-0.23
ILMN_1796106,-0.22,0.12,-0.48,-0.15,-0.23
ILMN_1809272,-0.22,0.12,-0.48,-0.15,-0.23
ILMN_1701477,0.06,-0.06,0.36,0.19,0.19
ILMN_1684789,0.06,-0.06,0.36,0.19,0.19
ILMN_2103014,0.14,0.18,-0.18,-0.5,-0.16
ILMN_1792456,0.14,0.18,-0.18,-0.5,-0.16
ILMN_2339705,-0.01,0.07,0.31,0.53,0.33
ILMN_1736847,-0.01,0.07,0.31,0.53,0.33
ILMN_1659537,-0.01,0.07,0.31,0.53,0.33
ILMN_1683082,-0.09,-0.14,0.26,0.4,-0.02
ILMN_1683450,0.03,0.18,0.58,0.38,0.02
