ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1779751,0.06,-0.08,-0.06,-0.33,-0.12
ILMN_1660654,0.15,-0.06,0.34,0.37,0.22
ILMN_1670807,-0.04,-0.19,-0.1,-0.39,-0.07
ILMN_1811957,0.13,0.11,0.3,0.01,0.15
ILMN_1662364,0.03,0.2,0.3,-0.02,-0.05
ILMN_1736539,-0.08,0.03,0.4,0.13,0.11
ILMN_2182980,-0.08,0.03,0.4,0.13,0.11
ILMN_1741960,-0.18,-0.25,-0.08,-0.32,-0.18
ILMN_1748543,-0.24,0.12,0.08,-0.51,-0.44
ILMN_2170930,-0.24,0.12,0.08,-0.51,-0.44
ILMN_1694075,0.14,0.34,0.61,0.14,-0.15
ILMN_2052208,0.14,0.34,0.61,0.14,-0.15
ILMN_1820389,0.44,-0.08,0.07,0.12,0.47
ILMN_1751016,0.44,-0.08,0.07,0.12,0.47
ILMN_1779015,-0.14,-0.15,-0.27,-0.33,-0.08
ILMN_1789384,0.12,0.08,0.32,0.14,0.36
ILMN_1759997,-0.02,-0.02,-0.24,-0.34,-0.23
ILMN_1777378,-0.02,-0.02,-0.24,-0.34,-0.23
ILMN_1760201,0.27,0.15,0.33,0.14,0.35
ILMN_1734285,0.19,0.18,0.18,0.31,0.06
ILMN_1794692,0.19,0.18,0.18,0.31,0.06
ILMN_2328977,0.19,0.18,0.18,0.31,0.06
ILMN_2328972,0.19,0.18,0.18,0.31,0.06
ILMN_1733929,0.19,0.18,0.18,0.31,0.06
ILMN_2404407,-0.19,-0.23,-0.44,-0.2,-0.04
ILMN_1670117,-0.19,-0.23,-0.44,-0.2,-0.04
ILMN_1805104,-0.19,-0.23,-0.44,-0.2,-0.04
ILMN_1679262,-0.4,0.2,-0.24,-0.23,-0.51
ILMN_1691376,0.13,0.19,0.47,0.2,0.2
ILMN_2121408,0.18,0.22,0.24,0.47,0.22
ILMN_1721008,0.08,0.13,0.36,-0.04,-0.14
ILMN_2374778,0.08,0.13,0.36,-0.04,-0.14
ILMN_1732688,0.08,0.13,0.36,-0.04,-0.14
ILMN_1777233,0.45,0.65,0.64,0.41,0.44
ILMN_1717173,-0.03,0,0.39,0.49,0.34
ILMN_1788254,0.22,-0.06,-0.19,0.14,0.33
ILMN_1789944,0.22,-0.06,-0.19,0.14,0.33
ILMN_1748027,0.22,-0.06,-0.19,0.14,0.33
ILMN_1658632,-0.05,-0.45,-0.52,-0.28,-0.37
ILMN_1798063,-0.05,-0.45,-0.52,-0.28,-0.37
ILMN_1652366,-0.05,-0.45,-0.52,-0.28,-0.37
ILMN_1765796,-0.13,0.24,-0.56,-0.36,-0.67
ILMN_2135709,-0.07,-0.1,-0.29,0.12,-0.07
ILMN_1670975,-0.07,-0.1,-0.29,0.12,-0.07
ILMN_1805448,0.33,-0.1,0.12,0.31,0.7
ILMN_2069128,0.33,-0.1,0.12,0.31,0.7
ILMN_2338038,-0.21,-0.23,-0.38,-0.37,-0.34
ILMN_1764090,-0.21,-0.23,-0.38,-0.37,-0.34
ILMN_1798249,-0.21,-0.23,-0.38,-0.37,-0.34
ILMN_1686522,-0.21,-0.23,-0.38,-0.37,-0.34
ILMN_1802646,-0.22,0.06,-0.33,-0.08,-0.24
ILMN_1783695,0.11,0.1,0.26,-0.07,0.02
ILMN_2124471,-0.08,0.2,0.06,0.24,0.26
ILMN_2377496,-0.06,-0.1,-0.17,-0.27,-0.37
ILMN_1797172,-0.06,-0.1,-0.17,-0.27,-0.37
ILMN_1652369,-0.06,-0.1,-0.17,-0.27,-0.37
ILMN_2277676,-0.06,-0.1,-0.17,-0.27,-0.37
ILMN_1652913,0.26,0.3,0.55,0.27,0.11
ILMN_1708105,0.26,0.3,0.55,0.27,0.11
ILMN_2364529,0.26,0.3,0.55,0.27,0.11
ILMN_2146761,0.39,0.23,0.48,0.31,0.55
ILMN_2146766,0.39,0.23,0.48,0.31,0.55
ILMN_1696302,0.39,0.23,0.48,0.31,0.55
ILMN_1712122,0.13,0.15,0.31,0.21,0.13
ILMN_1657634,0.13,0.15,0.31,0.21,0.13
ILMN_2235137,0.13,0.15,0.31,0.21,0.13
ILMN_2043452,0.17,0.38,0.45,0.15,0.14
ILMN_1702503,-0.4,-0.13,0.01,-0.5,-0.23
ILMN_1790100,0.2,0.06,0.43,0.27,0.28
ILMN_1761083,-0.46,-0.04,-0.08,-0.29,-0.15
ILMN_2325056,0.02,-0.2,-0.33,-0.19,-0.04
ILMN_1801377,0.02,-0.2,-0.33,-0.19,-0.04
ILMN_2251253,0.11,0.17,-0.34,-0.23,-0.48
ILMN_1741148,0.11,0.17,-0.34,-0.23,-0.48
ILMN_1681374,0.11,0.17,-0.34,-0.23,-0.48
ILMN_1736700,0.11,0.17,-0.34,-0.23,-0.48
ILMN_1678643,0.19,0.35,0.36,0.38,0.12
ILMN_2265783,0.19,0.35,0.36,0.38,0.12
ILMN_2355831,0.19,0.35,0.36,0.38,0.12
ILMN_1668411,0.19,0.35,0.36,0.38,0.12
ILMN_2189371,-0.07,0.13,0.47,0.16,-0.06
ILMN_1727778,-0.07,0.13,0.47,0.16,-0.06
ILMN_1807563,0.12,-0.24,-0.27,-0.26,-0.49
ILMN_1678080,0.12,-0.24,-0.27,-0.26,-0.49
ILMN_1674337,0.12,-0.24,-0.27,-0.26,-0.49
ILMN_2119224,-0.13,-0.19,0.05,-0.33,0.02
ILMN_2176768,0.04,0.01,0.42,0.05,0.09
ILMN_1673369,0.04,0.01,0.42,0.05,0.09
ILMN_1796949,-0.04,-0.09,0.41,0.48,0.17
ILMN_1716400,0.22,0.31,0.56,0.59,0.24
ILMN_2344971,0.22,0.31,0.56,0.59,0.24
ILMN_3237755,-0.45,-0.06,-0.55,-0.55,-0.29
ILMN_1663113,0.23,0.21,0.24,0.46,0.25
ILMN_1694106,0.1,-0.08,0.08,0.11,0.47
ILMN_2113362,-0.21,0.16,0.38,0.57,0.26
ILMN_1708416,-0.21,0.16,0.38,0.57,0.26
ILMN_1717934,-0.29,-0.12,-0.38,-0.47,-0.25
ILMN_1767658,0.43,0.03,0.46,0.18,0.5
ILMN_1784467,0.39,0.29,0.45,0.46,0.24
ILMN_1799516,0.29,0.18,0.36,0.14,0.12
ILMN_2131336,0.12,0.18,0.48,0.2,0.18
ILMN_3306440,0.12,0.18,0.48,0.2,0.18
ILMN_3228822,0.12,0.18,0.48,0.2,0.18
ILMN_1757347,-0.12,-0.07,-0.33,-0.2,-0.04
ILMN_1697957,-0.12,-0.07,-0.33,-0.2,-0.04
ILMN_1759195,-0.12,-0.07,-0.33,-0.2,-0.04
ILMN_1756784,0.14,0.21,0.22,0.4,0.2
ILMN_1700695,0.06,-0.11,-0.23,-0.3,-0.11
ILMN_1758673,0.06,-0.11,-0.23,-0.3,-0.11
ILMN_1788604,-0.1,-0.09,-0.02,-0.13,-0.31
ILMN_1742577,0.25,-0.08,0.26,0.1,0.25
ILMN_1716988,0.12,-0.04,-0.04,-0.45,-0.1
ILMN_2382717,0.12,-0.04,-0.04,-0.45,-0.1
ILMN_1670844,0.12,-0.04,-0.04,-0.45,-0.1
ILMN_1659106,-0.26,-0.1,-0.52,-0.08,-0.38
ILMN_1811729,0.24,0.11,0.03,0.28,-0.08
ILMN_1724533,0.13,0.08,-0.05,0.4,0.25
ILMN_1696713,0.41,0.29,0.37,0.42,0.27
ILMN_1805665,0.17,0.13,0.59,0.34,0.31
ILMN_1782750,0.17,0.13,0.59,0.34,0.31
ILMN_1799667,0.07,0.07,0.5,0.55,0.16
ILMN_1659259,-0.01,0.01,0.02,-0.17,-0.36
ILMN_1734696,-0.04,0.05,0.1,0.26,0.18
ILMN_1669788,-0.05,0.1,-0.01,-0.04,-0.3
ILMN_1724493,0.17,-0.1,0.01,0.2,0.53
ILMN_1792088,-0.12,-0.07,-0.09,-0.32,-0.2
ILMN_3245143,0.02,-0.23,0.11,0.37,0.15
ILMN_1691410,0.17,0.19,0.48,0.38,0.4
ILMN_2264029,0.11,0.27,0.36,0.71,0.15
ILMN_1718731,0.11,0.27,0.36,0.71,0.15
ILMN_2353054,0.11,0.27,0.36,0.71,0.15
ILMN_1803213,-0.19,-0.22,-0.19,-0.55,-0.26
ILMN_1744611,-0.16,0.19,0.11,0.34,0.07
ILMN_1780667,0.1,0.18,0.33,0.17,0.14
ILMN_1772521,0.43,0.29,0.57,0.19,0.1
ILMN_1688971,0.1,-0.06,0,0.09,0.3
ILMN_1802252,-0.17,0.63,-0.38,0.33,-0.39
